#RIC,Domain,Date-Time,GMT Offset,Type,Price,Volume,Exch Time,MMT Classification
PRU.L,Market Price,2021-06-07T07:02:07.751060211Z,+1,Trade,1480,1,07:02:07.011956000,45------MP----
PRU.L,Market Price,2021-06-07T07:02:18.531697520Z,+1,Trade,1481.5,234,07:02:18.481147000,12-------PH---
PRU.L,Market Price,2021-06-07T07:02:18.531697520Z,+1,Trade,1481.5,208,07:02:18.481147000,12-------PH---
PRU.L,Market Price,2021-06-07T07:02:18.531697520Z,+1,Trade,1481,350,07:02:18.481152000,12-------PH---
PRU.L,Market Price,2021-06-07T07:02:18.531697520Z,+1,Trade,1481,350,07:02:18.481453000,12-------PH---
PRU.L,Market Price,2021-06-07T07:02:19.119099718Z,+1,Trade,1480.5,192,07:02:19.069180000,12-------PH---
PRU.L,Market Price,2021-06-07T07:02:19.119099718Z,+1,Trade,1480,213,07:02:19.069704000,12-------PH---
PRU.L,Market Price,2021-06-07T07:02:26.623141413Z,+1,Trade,1480.5,263,07:02:26.576057000,12-------PH---
PRU.L,Market Price,2021-06-07T07:02:50.667496079Z,+1,Trade,1481,213,07:02:50.619709000,12-------PH---
PRU.L,Market Price,2021-06-07T07:02:50.670932386Z,+1,Trade,1481,114,07:02:50.619709000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:05.183728605Z,+1,Trade,1481,329,07:03:05.134349000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:13.030930442Z,+1,Trade,1480.5,192,07:03:12.981211000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:13.031253708Z,+1,Trade,1480.5,247,07:03:12.981211000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:13.031253708Z,+1,Trade,1480,59,07:03:12.982118000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:13.726866815Z,+1,Trade,1480.5,191,07:03:13.677959000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:22.219875258Z,+1,Trade,1480,205,07:03:22.170861000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:22.219875258Z,+1,Trade,1480,272,07:03:22.171115000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:22.219875258Z,+1,Trade,1480,2703,07:03:22.171129000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:22.319436929Z,+1,Trade,1480.5,191,07:03:22.271502000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:50.543435681Z,+1,Trade,1481.5,192,07:03:50.493698000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:56.671508991Z,+1,Trade,1481.5,328,07:03:56.622432000,12-------PH---
PRU.L,Market Price,2021-06-07T07:03:56.671508991Z,+1,Trade,1482,63,07:03:56.624031000,12-------PH---
PRU.L,Market Price,2021-06-07T07:04:00.178941424Z,+1,Trade,1482,3,07:04:00.131044000,12-------PH---
PRU.L,Market Price,2021-06-07T07:04:31.187886944Z,+1,Trade,1481,119,07:04:31.137469000,12-------PH---
PRU.L,Market Price,2021-06-07T07:04:41.966934870Z,+1,Trade,1480,251,07:04:41.917343000,12-------PH---
PRU.L,Market Price,2021-06-07T07:04:41.967521606Z,+1,Trade,1480,413,07:04:41.917343000,12-------PH---
PRU.L,Market Price,2021-06-07T07:04:44.923537711Z,+1,Trade,1480,44,07:04:44.876476000,12-------PH---
PRU.L,Market Price,2021-06-07T07:05:02.747233396Z,+1,Trade,1480,119,07:05:02.698660000,12-------PH---
PRU.L,Market Price,2021-06-07T07:05:02.747233396Z,+1,Trade,1480,192,07:05:02.698660000,12-------PH---
PRU.L,Market Price,2021-06-07T07:05:02.747233396Z,+1,Trade,1480,119,07:05:02.698660000,12-------PH---
PRU.L,Market Price,2021-06-07T07:05:03.419269609Z,+1,Trade,14.8,635,07:05:02.704000000,47------MP----
PRU.L,Market Price,2021-06-07T07:05:11.858844103Z,+1,Trade,1481,167,07:05:11.580572000,47------MP----
PRU.L,Market Price,2021-06-07T07:05:28.534941862Z,+1,Trade,1481,113,07:05:28.486903000,12-------PH---
PRU.L,Market Price,2021-06-07T07:05:28.535049488Z,+1,Trade,1481,102,07:05:28.486903000,12-------PH---
PRU.L,Market Price,2021-06-07T07:05:28.535049488Z,+1,Trade,1481,21,07:05:28.486942000,12-------PH---
PRU.L,Market Price,2021-06-07T07:05:28.651433402Z,+1,Trade,1481,224,07:05:28.506940000,47------MP----
PRU.L,Market Price,2021-06-07T07:05:43.947228647Z,+1,Trade,1480.5,336,07:05:43.897672000,12-------PH---
PRU.L,Market Price,2021-06-07T07:05:44.271771822Z,+1,Trade,1480.5,290,07:05:44.224651000,12-------PH---
PRU.L,Market Price,2021-06-07T07:05:57.679871156Z,+1,Trade,1481,291,07:05:57.628497000,12-------PH---
PRU.L,Market Price,2021-06-07T07:05:58.075146848Z,+1,Trade,1481.5,111,07:05:57.650026000,47------MP----
PRU.L,Market Price,2021-06-07T07:06:00.871860435Z,+1,Trade,1481.5,203,07:06:00.823088000,12-------PH---
PRU.L,Market Price,2021-06-07T07:06:27.030964430Z,+1,Trade,1482.9899,20,07:06:26.029000000,45------MP----
PRU.L,Market Price,2021-06-07T07:06:48.799302707Z,+1,Trade,1483,70,07:06:48.751651000,12-------PH---
PRU.L,Market Price,2021-06-07T07:06:58.391187180Z,+1,Trade,1482,119,07:06:58.344605000,12-------PH---
PRU.L,Market Price,2021-06-07T07:06:58.463832024Z,+1,Trade,1481.5,350,07:06:58.414587000,12-------PH---
PRU.L,Market Price,2021-06-07T07:07:03.147275424Z,+1,Trade,1481,59,07:07:03.098536000,12-------PH---
PRU.L,Market Price,2021-06-07T07:07:03.147275424Z,+1,Trade,1481,291,07:07:03.098668000,12-------PH---
PRU.L,Market Price,2021-06-07T07:07:34.587118905Z,+1,Trade,1482,252,07:07:34.536213000,12-------PH---
PRU.L,Market Price,2021-06-07T07:09:31.363109617Z,+1,Trade,1481,0,07:09:31.296000000,47------MP----
PRU.L,Market Price,2021-06-07T07:10:02.803961284Z,+1,Trade,1480,352,07:10:02.753224000,12-------PH---
PRU.L,Market Price,2021-06-07T07:10:02.803961284Z,+1,Trade,1480,332,07:10:02.753224000,12-------PH---
PRU.L,Market Price,2021-06-07T07:10:03.015018358Z,+1,Trade,1479.5,176,07:10:02.966398000,12-------PH---
PRU.L,Market Price,2021-06-07T07:10:09.890980270Z,+1,Trade,1478.5,320,07:10:09.841130000,12-------PH---
PRU.L,Market Price,2021-06-07T07:10:10.003307762Z,+1,Trade,1478.5,49,07:10:09.955431000,12-------PH---
PRU.L,Market Price,2021-06-07T07:10:10.003307762Z,+1,Trade,1479,51,07:10:09.955431000,12-------PH---
PRU.L,Market Price,2021-06-07T07:10:10.006961498Z,+1,Trade,1479,180,07:10:09.955431000,12-------PH---
PRU.L,Market Price,2021-06-07T07:10:23.027027079Z,+1,Trade,1479.5,392,07:10:22.978394000,12-------PH---
PRU.L,Market Price,2021-06-07T07:10:53.951257072Z,+1,Trade,1479,192,07:10:53.900461000,12-------PH---
PRU.L,Market Price,2021-06-07T07:11:38.131147947Z,+1,Trade,1479,246,07:11:38.083803000,12-------PH---
PRU.L,Market Price,2021-06-07T07:11:38.135123432Z,+1,Trade,1479,66,07:11:38.083803000,12-------PH---
PRU.L,Market Price,2021-06-07T07:11:38.135123432Z,+1,Trade,1479,72,07:11:38.084005000,12-------PH---
PRU.L,Market Price,2021-06-07T07:11:41.531209163Z,+1,Trade,1479.5,1359,07:11:41.258301000,47------MP----
PRU.L,Market Price,2021-06-07T07:11:57.238893803Z,+1,Trade,1478.5,315,07:11:57.188497000,12-------PH---
PRU.L,Market Price,2021-06-07T07:12:02.451342157Z,+1,Trade,1477.5,350,07:12:02.402585000,12-------PH---
PRU.L,Market Price,2021-06-07T07:12:14.134922970Z,+1,Trade,1478,350,07:12:14.085308000,12-------PH---
PRU.L,Market Price,2021-06-07T07:13:10.603864411Z,+1,Trade,1478.5,350,07:13:10.554907000,12-------PH---
PRU.L,Market Price,2021-06-07T07:13:10.843810294Z,+1,Trade,1478,119,07:13:10.793606000,12-------PH---
PRU.L,Market Price,2021-06-07T07:13:10.843810294Z,+1,Trade,1478,193,07:13:10.793606000,12-------PH---
PRU.L,Market Price,2021-06-07T07:13:11.295825157Z,+1,Trade,1477.5,318,07:13:11.247322000,12-------PH---
PRU.L,Market Price,2021-06-07T07:13:11.295825157Z,+1,Trade,1477.5,350,07:13:11.247322000,12-------PH---
PRU.L,Market Price,2021-06-07T07:13:13.151692237Z,+1,Trade,1477,202,07:13:13.104128000,12-------PH---
PRU.L,Market Price,2021-06-07T07:13:27.995458426Z,+1,Trade,1478,144,07:13:27.945793000,12-------PH---
PRU.L,Market Price,2021-06-07T07:13:56.319115237Z,+1,Trade,1477.5,134,07:13:56.271198000,12-------PH---
PRU.L,Market Price,2021-06-07T07:14:46.559294385Z,+1,Trade,1478,160,07:14:46.512322000,12-------PH---
PRU.L,Market Price,2021-06-07T07:14:59.111166850Z,+1,Trade,1477,274,07:14:59.060873000,12-------PH---
PRU.L,Market Price,2021-06-07T07:15:00.451300409Z,+1,Trade,1476.5,350,07:15:00.403795000,12-------PH---
PRU.L,Market Price,2021-06-07T07:15:05.455282690Z,+1,Trade,1477.5,0,07:15:05.366000000,47------MP----
PRU.L,Market Price,2021-06-07T07:15:12.423657593Z,+1,Trade,1476.5,400,07:15:12.375953000,12-------PH---
PRU.L,Market Price,2021-06-07T07:15:12.511280611Z,+1,Trade,1476.5,136,07:15:12.461046000,12-------PH---
PRU.L,Market Price,2021-06-07T07:15:12.511280611Z,+1,Trade,1476.5,214,07:15:12.461179000,12-------PH---
PRU.L,Market Price,2021-06-07T07:15:12.774916039Z,+1,Trade,1476.5,122,07:15:12.425568000,47------MP----
PRU.L,Market Price,2021-06-07T07:15:13.234851938Z,+1,Trade,1477.5,0,07:15:13.135000000,47------MP----
PRU.L,Market Price,2021-06-07T07:15:18.054885926Z,+1,Trade,1477.5,0,07:15:17.897000000,47------MP----
PRU.L,Market Price,2021-06-07T07:15:36.447090593Z,+1,Trade,1477,148,07:15:36.397438000,12-------PH---
PRU.L,Market Price,2021-06-07T07:15:59.519728483Z,+1,Trade,1475.668,5735,07:15:57.867000000,45------MP----
PRU.L,Market Price,2021-06-07T07:16:11.755134559Z,+1,Trade,1477.5,66,07:16:11.707136000,12-------PH---
PRU.L,Market Price,2021-06-07T07:16:11.755134559Z,+1,Trade,1477.5,50,07:16:11.707270000,12-------PH---
PRU.L,Market Price,2021-06-07T07:16:12.115399671Z,+1,Trade,1477,350,07:16:12.065531000,12-------PH---
PRU.L,Market Price,2021-06-07T07:16:12.115399671Z,+1,Trade,1477,163,07:16:12.065531000,12-------PH---
PRU.L,Market Price,2021-06-07T07:16:12.115399671Z,+1,Trade,1477,318,07:16:12.065531000,12-------PH---
PRU.L,Market Price,2021-06-07T07:16:12.115399671Z,+1,Trade,1477,129,07:16:12.065531000,12-------PH---
PRU.L,Market Price,2021-06-07T07:16:12.198918189Z,+1,Trade,1476,350,07:16:12.151421000,12-------PH---
PRU.L,Market Price,2021-06-07T07:16:12.199042507Z,+1,Trade,1476,123,07:16:12.151421000,12-------PH---
PRU.L,Market Price,2021-06-07T07:16:12.199042507Z,+1,Trade,1476,318,07:16:12.151421000,12-------PH---
PRU.L,Market Price,2021-06-07T07:16:12.230982240Z,+1,Trade,1477,155,07:16:12.140123000,47------MP----
PRU.L,Market Price,2021-06-07T07:16:12.591318751Z,+1,Trade,1477,748,07:16:12.494041000,47------MP----
PRU.L,Market Price,2021-06-07T07:16:20.375164154Z,+1,Trade,1477,350,07:16:20.327965000,12-------PH---
PRU.L,Market Price,2021-06-07T07:17:13.606877622Z,+1,Trade,1478,350,07:17:13.558263000,12-------PH---
PRU.L,Market Price,2021-06-07T07:17:37.271280674Z,+1,Trade,1479,201,07:17:37.220893000,12-------PH---
PRU.L,Market Price,2021-06-07T07:17:37.271280674Z,+1,Trade,1479,149,07:17:37.221031000,12-------PH---
PRU.L,Market Price,2021-06-07T07:17:38.675115510Z,+1,Trade,1479.5,427,07:17:38.226614000,47------MP----
PRU.L,Market Price,2021-06-07T07:19:00.471788744Z,+1,Trade,1480,211,07:19:00.420316000,12-------PH---
PRU.L,Market Price,2021-06-07T07:19:12.571635431Z,+1,Trade,1480,148,07:19:12.524221000,12-------PH---
PRU.L,Market Price,2021-06-07T07:19:12.574880706Z,+1,Trade,1480,11,07:19:12.524870000,12-------PH---
PRU.L,Market Price,2021-06-07T07:19:12.575562126Z,+1,Trade,1480,254,07:19:12.524870000,12-------PH---
PRU.L,Market Price,2021-06-07T07:19:15.151268790Z,+1,Trade,1480,163,07:19:15.101680000,12-------PH---
PRU.L,Market Price,2021-06-07T07:19:37.943163765Z,+1,Trade,1480.5,171,07:19:37.894724000,12-------PH---
PRU.L,Market Price,2021-06-07T07:19:37.943163765Z,+1,Trade,1480.5,30,07:19:37.894724000,12-------PH---
PRU.L,Market Price,2021-06-07T07:19:57.278942905Z,+1,Trade,1479.5,21,07:19:57.230359000,12-------PH---
PRU.L,Market Price,2021-06-07T07:19:57.279176010Z,+1,Trade,1479.5,75,07:19:57.230494000,12-------PH---
PRU.L,Market Price,2021-06-07T07:19:57.279176010Z,+1,Trade,1479.5,207,07:19:57.230494000,12-------PH---
PRU.L,Market Price,2021-06-07T07:19:57.279176010Z,+1,Trade,1479,406,07:19:57.231049000,12-------PH---
PRU.L,Market Price,2021-06-07T07:19:57.279176010Z,+1,Trade,1479,97,07:19:57.231049000,12-------PH---
PRU.L,Market Price,2021-06-07T07:20:05.342898333Z,+1,Trade,1479.5,178,07:20:05.294050000,12-------PH---
PRU.L,Market Price,2021-06-07T07:20:05.342898333Z,+1,Trade,1479.5,165,07:20:05.294050000,12-------PH---
PRU.L,Market Price,2021-06-07T07:20:42.911698228Z,+1,Trade,1480.5,203,07:20:42.860575000,12-------PH---
PRU.L,Market Price,2021-06-07T07:20:42.911698228Z,+1,Trade,1480.5,30,07:20:42.860575000,12-------PH---
PRU.L,Market Price,2021-06-07T07:21:21.187526500Z,+1,Trade,1481,238,07:21:21.138694000,12-------PH---
PRU.L,Market Price,2021-06-07T07:21:42.699150233Z,+1,Trade,1481.5,195,07:21:42.648535000,12-------PH---
PRU.L,Market Price,2021-06-07T07:21:50.347455456Z,+1,Trade,1482,143,07:21:50.298162000,12-------PH---
PRU.L,Market Price,2021-06-07T07:22:37.191628232Z,+1,Trade,1482.5,204,07:22:37.143405000,12-------PH---
PRU.L,Market Price,2021-06-07T07:24:00.431919374Z,+1,Trade,1484.5,350,07:24:00.383944000,12-------PH---
PRU.L,Market Price,2021-06-07T07:25:28.815011532Z,+1,Trade,1487,69,07:25:28.767012000,12-------PH---
PRU.L,Market Price,2021-06-07T07:25:28.819607315Z,+1,Trade,1487,196,07:25:28.767904000,12-------PH---
PRU.L,Market Price,2021-06-07T07:25:29.158905847Z,+1,Trade,1486,196,07:25:29.112579000,12-------PH---
PRU.L,Market Price,2021-06-07T07:25:29.163062325Z,+1,Trade,1486,181,07:25:29.112579000,12-------PH---
PRU.L,Market Price,2021-06-07T07:25:29.603129074Z,+1,Trade,1486,293,07:25:29.116582000,47------MP----
PRU.L,Market Price,2021-06-07T07:25:37.863835786Z,+1,Trade,1485.5,171,07:25:37.815138000,12-------PH---
PRU.L,Market Price,2021-06-07T07:25:46.083728451Z,+1,Trade,1485.5,350,07:25:46.033560000,12-------PH---
PRU.L,Market Price,2021-06-07T07:25:55.323140446Z,+1,Trade,1486,350,07:25:55.273991000,12-------PH---
PRU.L,Market Price,2021-06-07T07:25:55.323140446Z,+1,Trade,1486,259,07:25:55.273991000,12-------PH---
PRU.L,Market Price,2021-06-07T07:25:55.323140446Z,+1,Trade,1486,22,07:25:55.273991000,12-------PH---
PRU.L,Market Price,2021-06-07T07:25:55.327162776Z,+1,Trade,1486.5,212,07:25:55.280083000,12-------PH---
PRU.L,Market Price,2021-06-07T07:25:55.327162776Z,+1,Trade,1486.5,350,07:25:55.280083000,12-------PH---
PRU.L,Market Price,2021-06-07T07:26:03.475328569Z,+1,Trade,1486,298,07:26:03.426089000,12-------PH---
PRU.L,Market Price,2021-06-07T07:26:33.007657139Z,+1,Trade,1487,223,07:26:32.957335000,12-------PH---
PRU.L,Market Price,2021-06-07T07:26:33.019562949Z,+1,Trade,1487,81,07:26:32.968574000,12-------PH---
PRU.L,Market Price,2021-06-07T07:26:52.291860740Z,+1,Trade,1487.5,350,07:26:52.243590000,12-------PH---
PRU.L,Market Price,2021-06-07T07:26:52.291860740Z,+1,Trade,1487.5,205,07:26:52.243590000,12-------PH---
PRU.L,Market Price,2021-06-07T07:27:00.834936277Z,+1,Trade,1487.5,211,07:27:00.785430000,12-------PH---
PRU.L,Market Price,2021-06-07T07:28:03.675235554Z,+1,Trade,1488.5,61,07:28:03.627584000,12-------PH---
PRU.L,Market Price,2021-06-07T07:28:22.327316364Z,+1,Trade,1489,360,07:28:22.278827000,12-------PH---
PRU.L,Market Price,2021-06-07T07:28:22.335265906Z,+1,Trade,1489,192,07:28:22.287575000,12-------PH---
PRU.L,Market Price,2021-06-07T07:28:50.979467019Z,+1,Trade,1489,183,07:28:50.931249000,12-------PH---
PRU.L,Market Price,2021-06-07T07:29:19.583729128Z,+1,Trade,1490,350,07:29:19.536095000,12-------PH---
PRU.L,Market Price,2021-06-07T07:29:42.899341924Z,+1,Trade,1489.5,95,07:29:42.850491000,12-------PH---
PRU.L,Market Price,2021-06-07T07:29:42.899341924Z,+1,Trade,1489.5,68,07:29:42.850491000,12-------PH---
PRU.L,Market Price,2021-06-07T07:29:47.491166451Z,+1,Trade,1489,79,07:29:47.440842000,12-------PH---
PRU.L,Market Price,2021-06-07T07:30:04.023517913Z,+1,Trade,1489.5,38,07:30:03.971494000,12-------PH---
PRU.L,Market Price,2021-06-07T07:30:04.023517913Z,+1,Trade,1489.5,208,07:30:03.971573000,12-------PH---
PRU.L,Market Price,2021-06-07T07:30:04.023517913Z,+1,Trade,1489.5,148,07:30:03.971573000,12-------PH---
PRU.L,Market Price,2021-06-07T07:30:11.351341236Z,+1,Trade,1489,240,07:30:11.301964000,12-------PH---
PRU.L,Market Price,2021-06-07T07:30:11.755579998Z,+1,Trade,1490,0,07:30:11.459000000,47------MP----
PRU.L,Market Price,2021-06-07T07:30:49.383202409Z,+1,Trade,1489,230,07:30:49.333666000,12-------PH---
PRU.L,Market Price,2021-06-07T07:30:53.619603675Z,+1,Trade,1488.5,195,07:30:53.571325000,12-------PH---
PRU.L,Market Price,2021-06-07T07:31:05.943452440Z,+1,Trade,1489,41,07:31:05.862134000,45-1----MP----
PRU.L,Market Price,2021-06-07T07:31:09.579476650Z,+1,Trade,1488.5,196,07:31:09.531649000,12-------PH---
PRU.L,Market Price,2021-06-07T07:31:20.159039342Z,+1,Trade,1488.99,302,07:31:19.555000000,45------MP----
PRU.L,Market Price,2021-06-07T07:31:37.587435361Z,+1,Trade,1488.5,33,07:31:37.538785000,12-------PH---
PRU.L,Market Price,2021-06-07T07:31:42.803525580Z,+1,Trade,1488.5,350,07:31:42.755740000,12-------PH---
PRU.L,Market Price,2021-06-07T07:31:42.803525580Z,+1,Trade,1488.5,260,07:31:42.755740000,12-------PH---
PRU.L,Market Price,2021-06-07T07:31:42.803525580Z,+1,Trade,1488.5,111,07:31:42.755740000,12-------PH---
PRU.L,Market Price,2021-06-07T07:32:00.975752874Z,+1,Trade,1489,214,07:32:00.925169000,12-------PH---
PRU.L,Market Price,2021-06-07T07:32:00.975752874Z,+1,Trade,1489,73,07:32:00.925169000,12-------PH---
PRU.L,Market Price,2021-06-07T07:32:00.975752874Z,+1,Trade,1489.5,350,07:32:00.925741000,12-------PH---
PRU.L,Market Price,2021-06-07T07:32:00.975752874Z,+1,Trade,1489.5,104,07:32:00.925741000,12-------PH---
PRU.L,Market Price,2021-06-07T07:32:02.263122641Z,+1,Trade,1488.5,350,07:32:02.214723000,12-------PH---
PRU.L,Market Price,2021-06-07T07:32:02.263122641Z,+1,Trade,1488.5,163,07:32:02.214723000,12-------PH---
PRU.L,Market Price,2021-06-07T07:32:13.739597969Z,+1,Trade,1489.01,67,07:32:12.516000000,45------MP----
PRU.L,Market Price,2021-06-07T07:32:29.523257994Z,+1,Trade,1489.5,0,07:32:29.455000000,47------MP----
PRU.L,Market Price,2021-06-07T07:32:48.731876500Z,+1,Trade,1488.5,350,07:32:48.683958000,12-------PH---
PRU.L,Market Price,2021-06-07T07:32:48.735119847Z,+1,Trade,1488.5,237,07:32:48.684323000,12-------PH---
PRU.L,Market Price,2021-06-07T07:32:48.735119847Z,+1,Trade,1488.5,209,07:32:48.684580000,12-------PH---
PRU.L,Market Price,2021-06-07T07:32:48.735119847Z,+1,Trade,1488.5,28,07:32:48.684580000,12-------PH---
PRU.L,Market Price,2021-06-07T07:33:14.275630541Z,+1,Trade,1489.5,194,07:33:14.226780000,12-------PH---
